contract_address,token0,token1
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,WETH,USDC
0xe0554a476a092703abdb3ef35c80e0d76d32939f,USDC,WETH
0x4585fe77225b41b697c938b018e2ac67ac5a20c0,,
0x60594a405d53811d3bc4766596efd80fd545a270,,
0xe6ff8b9a37b0fab776134636d9981aa778c4e718,,
0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,,
0xaf81e930620eb55a9a6927c4b2afcb4d61040c32,,
0x127452f3f9cdc0389b0bf59ce6131aa3bd763598,,
0x4628a0a564debfc8798eb55db5c91f2200486c24,,
0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,,
0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,,
0x744159757cac173a7a3ecf5e97adb10d1a725377,,
0xe8c6c9227491c0a8156a0106a0204d881bb7e531,,
0x5777d92f208679db4b9778590fa3cab3ac9e2168,,
0x5b7e3e37a1aa6369386e5939053779abd3597508,,
0xe3fe800b0de664bf0bca8ad58ecbc73b259047b0,,
0x57af956d3e2cca3b86f3d8c6772c03ddca3eaacb,,
0x4b62fa30fea125e43780dc425c2be5acb4ba743b,,
0x919fa96e88d67499339577fa202345436bcdaf79,,
0x4c54ff7f1c424ff5487a32aad0b48b19cbaf087f,,
0x6c063a6e8cd45869b5eb75291e65a3de298f3aa8,,
0x56534741cd8b152df6d48adf7ac51f75169a83b2,,
0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec,,
0x87b1d1b59725209879cc5c5adeb99d8bc9eccf12,,
0x98409d8ca9629fbe01ab1b914ebf304175e384c8,,
0xc3881fbb90daf3066da30016d578ed024027317c,,
0x9f41a3ac0c16a9feb5400751a34c609211839cfa,,
0x3df6bb62348d786a50b635b638ff99d850f98211,,
0x0e2c4be9f3408e5b1ff631576d946eb8c224b5ed,,
0x290a6a7460b308ee3f19023d2d00de604bcf5b42,,
0xfe0df74636bc25c7f2400f22fe7dae32d39443d2,,
0x1becf1ac50f31c3441181563f9d350ddf72a2bfa,,
0x99a6880748ceb61c3d9b6d4cd49edb59f79f405d,,
0x2a0330c7e979a4d18e5b0c987b877da24dd37d04,,
0xb1914469141ebb6e244e75cee3f35d43bf6b85e5,,
0xa3f558aebaecaf0e11ca4b2199cc5ed341edfd74,,
0xfad57d2039c21811c8f2b5d5b65308aa99d31559,,
0x9e0905249ceefffb9605e034b534544684a58be6,,
0x9445bd19767f73dcae6f2de90e6cd31192f62589,,
0xf359492d26764481002ed88bd2acae83ca50b5c9,,
0x88051b0eea095007d3bef21ab287be961f3d8598,,
0x32d9259e6792b2150fd50395d971864647fa27b2,,
0x1c98562a2fab5af19d8fb3291a36ac3c618835d9,,
0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316,,
0x9e7809c21ba130c1a51c112928ea6474d9a9ae3c,,
0xe936f0073549ad8b1fa53583600d629ba9375161,,
0xec2061372a02d5e416f5d8905eea64cab2c10970,,
0xc02d0fa00c0bec48186026c71da2e54ebf680139,,
0x5aaa28ca43c6646fd1403e508f0fca1d92357dde,,
0x7f76a06e8485bb5a12c0e2632dd5c365ecf3e6da,,
0x3b685307c8611afb2a9e83ebc8743dc20480716e,,
0x0a55882f4e1117adc54afbbac4a39079ad52fb89,,
0xac4b3dacb91461209ae9d41ec517c2b9cb1b7daf,,
0xa7600c4fbddb57e44018bee74a5f6b636cb68352,,
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e,,
0x2a4d547ea2c35d03a501a8bb5d12d81d0a222dc5,,
0x283e2e83b7f3e297c4b7c02114ab0196b001a109,,
0x8592064903ef23d34e4d5aaaed40abf6d96af186,,
0x08f68110f1e0ca67c80a24b4bd206675610f445d,,
0xd0fc8ba7e267f2bc56044a7715a489d851dc6d78,,
0x9359c87b38dd25192c5f2b07b351ac91c90e6ca7,,
0x8661ae7918c0115af9e3691662f605e9c550ddc9,,
0x6546055f46e866a4b9a4a13e81273e3152bae5da,,
0x96467eae14bf1da07b5fedd07b2a4030b8f1481d,,
0xdeaf677af91ec0655124860e1a15177aee86303e,,
0x8b6ed5fa776f10787f1171bdeea4f3c40974df6e,,
0x190a6e305990f202ac98dc3a76500f339a35982d,,
0x8ea48337c6c6677b0973437f2685d17717c0408e,,
0x8c13148228765ba9e84eaf940b0416a5e349a5e7,,
0x7270233ccae676e776a659affc35219e6fcfbb10,,
0xa424cea71c4aea3d11877240b2f221c027c0e0be,ALEPH,WETH
0x18adbc0144059be823a5d0de1d6445002f858eb5,WETH,BOSON
0x4b1f895066058662b9fa885e87a4e4159be0798a,NMR,WETH
0xc29271e3a68a7647fd1399298ef18feca3879f59,WTON,WETH
0x99132b53ab44694eeb372e87bced3929e4ab8456,AGIX,WETH
0xb003df4b243f938132e8cadbeb237abc5a889fb4,EUL,WETH
0x5104846dc1c3c7697b856dc69e350ae4dcc47e24,LORDS,WETH
0x34b8487fc2912c486b04d1436b07f19f7730cd43,POLK,WETH
0x8f0cb37cdff37e004e0088f563e5fe39e05ccc5b,UNI,WBTC
0xcbcc3cbad991ec59204be2963b4a87951e4d292b,VITA,WETH
0xede8dd046586d22625ae7ff2708f879ef7bdb8cf,SNX,WETH
0x78194ba1a135a71f7fba71fda7cdd3885872b8ff,MNW,WETH
0xd35efae4097d005720608eaf37e42a5936c94b44,1INCH,WETH
0xea4ba4ce14fdd287f380b55419b1c5b6c3f22ab6,COMP,WETH
0x2b43fe4f41d871fbc75af6e0ce85bce38ff1edc7,Coval,WETH
0x82c427adfdf2d245ec51d8046b41c4ee87f0d29c,oSQTH,WETH
0x959c7d5706ac0b5a29f506a1019ba7f2a1c70c70,SHI,WETH
0xcb0c5d9d92f4f2f80cce7aa271a1e148c226e19d,RAI,DAI
0x83abecf7204d5afc1bea5df734f085f2535a9976,PEOPLE,WETH
0x4bec87cb126de6c1f8b410e32d1f4ae472fdd83b,EURT,WETH
0xa305f3aad48e285c002a2dbadbbba58fea10ad45,CHEQ,USDT
0x13dc0a39dc00f394e030b97b0b569dedbe634c0d,ANKR,WETH
0x9f178e86e42ddf2379cb3d2acf9ed67a1ed2550a,LINK,UNI
0x12cc685eeb95d3fcdfae0a996e214e51fa6f7548,SKL,WETH
0x2dd35b4da6534230ff53048f7477f17f7f4e7a70,SYN,WETH
0xe15e6583425700993bd08f51bf6e7b73cd5da91b,BADGER,WBTC
0x2a48dbf6347ea5cdc906b4bb6a2ed27969241cde,TOINCOIN,USDC
0x256bd88baf707eaad1b73dc8b2b8a5d599b45584,BOBA,WETH
0x157dfa656fdf0d18e1ba94075a53600d81cb3a97,UMA,WETH
0x9c2dc3d5ffcecf61312c5f4c00660695b32fb3d1,USDC,WETH
0xe3f6845cfe044e0ddc58031fe31b2a09fbdf8c70,Skey,WETH
0x3e87d4c24fb56c52a0dbd089a6219b7086d577d8,TRIAS,WETH
0xff29d3e552155180809ea3a877408a4620058086,DUSK,USDT
0x07f3d316630719f4fc69c152f397c150f0831071,EURT,USDT
0xc5af84701f98fa483ece78af83f11b6c38aca71d,WETH,USDT
0xfe4ec8f377be9e1e95a49d4e0d20f52d07b1ff0d,GLM,WETH
0xd04d14d2f9122372e41d2de9a82f721e9ea2f069,RSS3,WETH
0x7f63306a62c345365881e0fff85cb2c8baaa13d5,XOR,ETH
0xd05d35b500dee15aecbae563a28e790ae1594cb4,WTK,WETH
0xfd76be67fff3bac84e3d5444167bbc018f5968b6,IMX,WETH
0x71c1d309dea75c5a2feea55dbee68aac6768c12e,OMI,WETH
0x391e8501b626c623d39474afca6f9e46c2686649,WBTC,DAI
0xe331de28cd81b768c19a366b0e4e4675c45ec2da,XYO,WETH
0xe2680fd7cdbb04e9087a647ad4d023ef6c8fb4e2,HUNT,WETH
0xcd83055557536eff25fd0eafbc56e74a1b4260b3,PERP,WETH
0x70bb8e6844dfb681810fd557dd741bcaf027bf94,OGN,WETH
0xe11ee9c18d03b43d6a7fc53e51aedda8451e837a,PLU,WETH
0xe42318ea3b998e8355a3da364eb9d48ec725eb45,RPL,WETH
0x14424eeecbff345b38187d0b8b749e56faa68539,ETH,ZRX
0x5f0d8fc6057a959e79f7f79f8dbf12f29f9a9f34,TONCOIN,WBTC
0x09aa63b7a22eefc372196aacd5b53441ed390bfb,ENS,USDT
0x6a9c4fc2b35ee398e7a0e75d982872466ba93cb8,TONCOIN,USDT
0x084b5191bd08412952337b1108b6e5942418928f,SNT,WETH
0xc2a856c3aff2110c1171b8f942256d40e980c726,FRAX,USDT
0x1a349a3397a8431eed8d94a05f88f9001117fcaa,FUN,USDT
0x893f503fac2ee1e5b78665db23f9c94017aae97d,OHM,USDC
0xb011e4eb4111ef00b620a5ed195836dcd69db1ff,BONE,WETH
