tokens,token_name
0x1001271083c249bd771e1bb76c22d935809a61ee,FUKU
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH
,Unknown
0x100891bf73ba8274c234aa34621bc626ed6eca8e,HACHI
0x8e42fe26fc1697f57076c9f2a8d1ff69cf7f6fda,AGURI
0x28561b8a2360f463011c16b6cc0b0cbef8dbbcad,MOODENG
0x7d4a7be025652995364e0e232063abd9e8d65e6e,MONOPOLY
0x52317fe2141bf9fc7e1d9fda164e1cab30f64343,FUKU
0x812ba41e071c7b7fa4ebcfb62df5f45f6fa853ee,Neiro
0x6222220bf20e29c3e668e8315f1a5f1b3d3504ea,FUKU
0x80297b72f9835043988a24617bfb4a484acfd62e,WL
0x39636b82c7d2e703baa093ef195ee5af81535954,BONE
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
0x1cf763ae60891164bb0c6a04e63b373a76b16c02,NIQAB
0x7777cec341e7434126864195adef9b05dcc3489c,ONI
0x71297312753ea7a2570a5a3278ed70d9a75f4f44,EBULL
0x31c4f6a7b6351b89f16278a5ceb6abce5381cb4f,GINNAN
0xaaee1a9723aadb7afa2810263653a34ba2c21c7a,Mog
0x2cc774364ec2d4cf53433c76dad287b743b17441,Aguri
0x28ae4a13de3055a557f900e2e5307da4ea5761bb,RTR
0x3dfb819e09aef521b471f23fe169f271cb2fa5e5,BONN
0x94efef107304c17fbb6f26b7c36e57b948313585,KAGURA
0x4c44a8b7823b80161eb5e6d80c014024752607f2,PAC
0x777be1c6075c20184c4fd76344b7b0b7c858fe6b,BAR
0x576e2bed8f7b46d34016198911cdf9886f78bea7,TRUMP
0x9aa4751195e48ac3c15587c2ed02385e2f8100c1,HACHI
0x445e8839307e954661ed1214fbabf7ed44a3b9a0,FUKU
0x72e4f9f808c49a2a61de9c5896298920dc4eeea9,BITCOIN
0x2597342ff387b63846eb456419590781c4bfcdaf,TAXI
0x3ffeea07a27fab7ad1df5297fa75e77a43cb5790,PEIPEI
0x124386504d774979e1e9d2d19c6188391d7af8e3,Hanabi
0x5a19716ba5a70c807f5b357dc43a5cc26091eec9,GAO
0x6982508145454ce325ddbe47a25d4ec3d2311933,PEPE
0x888c1a341ce9d9ae9c2d2a75a72a7f0d2551a2dc,CSI
0x19af07b52e5faa0c2b1e11721c52aa23172fe2f5,MEMES
0x33f43d74e8d45374f4a1b83ec1ee6c43e511290b,HACHI
0x7316d973b0269863bbfed87302e11334e25ea565,KEN
0x426a688ee72811773eb64f5717a32981b56f10c1,AMC
0x881d4c8618d68872fa404518b2460ea839a02a6a,$yawn
0x0f21aad20bb17f30e27c0372105e6877a6fca65f,ACD
0x24b74ff65b44393f03e9a0f88a2b20506798c083,RAMUNE
0x155788dd4b3ccd955a5b2d461c7d6504f83f71fa,HARRIS
0x7f911119435d8ded9f018194b4b6661331379a3d,FWOG
0x8876d654be2249df567d2c40bd0bcdfcb12fc288,WAGMI
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC
0x0d7d0e0dc6071ec4ce55ba2b171a7b5b2b8ffd6f,AMOGUS
0x2e6a60492fb5b58f5b5d08c7cafc75e740e6dc8e,TSUJI
0x69fd9281a920717ee54193a1c130b689ef341933,FWOG
0x615987d46003cc37387dbe544ff4f16fa1200077,NASDAQ420
0x77e06c9eccf2e797fd462a92b6d7642ef85b0a44,wTAO
0xbabe3ce7835665464228df00b03246115c30730a,BABYNEIRO
0x2f1a0f4b02a9294cd3e9dd58bd881ef000b0fc71,FUKU
0x594daad7d77592a2b97b725a7ad59d7e188b5bfa,APU
0x1d77c7d39212088b14671598222db6ef2f6af482,BULL
0x8ed97a637a790be1feff5e888d43629dc05408f6,NPC
0x6e79b51959cf968d87826592f46f819f92466615,HOPPY
0x68bbed6a47194eff1cf514b50ea91895597fc91e,ANDY
0x240cd7b53d364a208ed41f8ced4965d11f571b7a,DOGGO
0x420698cfdeddea6bc78d59bc17798113ad278f9d,Toweli
0x79f324cfb83be8a8e7cc893018277297c2059cae,WIZZ
0x67466be17df832165f8c80a5a120ccc652bd7e69,WOLF
0x0da2082905583cedfffd4847879d0f1cf3d25c36,melo
0x8802269d1283cdb2a5a329649e5cb4cdcee91ab6,FIGHT
